Quality,Qualityid,GroupName,hsn,rate,width,Uom,pid
EMBER-001,1506,Kurti,62114210,0,3,Mtr,1506
CORA-002,1507,Kurti,62114210,0,6,Mtr,1507
COTTON EMBROIDERY,1508,Jacquard,540710,0,4,Mtr,1508
NYLA,1509,Jacquard,551611,0,3,Mtr,1509
GLAM STRUCK-SILVER 2,1510,Jacquard,540710,0,3,Mtr,1510
REKHA AM-001,1511,Kurti,62114210,0,6,Mtr,1511
ARLO-001,1512,Kurti,62114210,0,6,Mtr,1512
KYLAR-004,1513,Kurti,62114210,0,6,Mtr,1513
KYLAR-003,1514,Kurti,62114210,0,6,Mtr,1514
VIVA 2,1515,Jacquard,551311,0,3,Mtr,1515
PATTERN SEQUENCE,1516,Jacquard,551511,0,3,Mtr,1516
PATTERN,1517,Jacquard,520812,0,3,Mtr,1517
TERRY GOLD,1518,Kurti,55132100,0,3,Mtr,1518
SANTOON VISCOSE,1519,Jacquard,540831,0,6,Mtr,1519
ORGANZA,1520,Jacquard,540821,0,6,Mtr,1520
REPO-01 (GOLD),1521,Kurti,620610,0,4,Mtr,1521
REPO-001(PINK),1522,Kurti,620610,0,6,Mtr,1522
REPO-001,1523,Kurti,620610,0,4,Mtr,1523
YUCKA-002,1524,Kurti,620610,0,4,PCS,1524
MEHAK RG-008,1525,Kurti,62114210,0,4,Mtr,1525
TORI YR-002,1526,Kurti,62114210,0,4,Mtr,1526
TORI YR-001,1527,Kurti,62114210,0,4,Mtr,1527
RIDI-001,1528,Kurti,62114210,0,4,Mtr,1528
PN-0015,1529,Kurti,62114210,0,6,Mtr,1529
PN-002,1530,Kurti,62114210,0,4,Mtr,1530
PN-003,1531,Kurti,62114210,0,4,Mtr,1531
PN-004,1532,Kurti,62114210,0,4,Mtr,1532
PN-0014,1533,Kurti,62114210,0,6,Mtr,1533
PN-008,1534,Kurti,62114210,0,6,PCS,1534
CORA-001,1535,Kurti,62114210,0,6,Mtr,1535
CORA-003,1536,Kurti,62114210,0,6,Mtr,1536
CORA-004,1537,Kurti,62114210,0,6,Mtr,1537
DREW-001,1538,Kurti,62114210,0,6,Mtr,1538
DREW-002,1539,Kurti,62114210,0,4,Mtr,1539
REGALO-001,1540,Kurti,62114210,0,3,Mtr,1540
DOW-001,1541,Kurti,62114210,0,6,Mtr,1541
LUCA KV-0010,1542,Kurti,62114210,0,6,Mtr,1542
ZUMI,1543,Kurti,620610,0,6,Mtr,1543
KAIZO-001,1544,Kurti,62114210,0,6,Mtr,1544
HABOTAI,1545,Kurti,62114210,0,6,Mtr,1545
FABRIC KURTI 12,1546,Kurti,520819,0,6,Mtr,1546
GOLD SPOT,1547,Jacquard,540710,0,3,Mtr,1547
RAYON STYLE,1548,Jacquard,551611,0,3,Mtr,1548
VACA,1549,Kurti,620610,0,6,Mtr,1549
DIMI-001,1550,Kurti,620610,0,6,Mtr,1550
COT-002,1551,Kurti,620610,0,6,Mtr,1551
CORNY,1552,Jacquard,540822,0,6,Mtr,1552
PENDING,1553,Jacquard,551611,0,3,Mtr,1553
GROOVE,1554,Jacquard,551611,0,3,Mtr,1554
HUSKY 9,1555,Jacquard,551611,0,3,Mtr,1555
MANNAT KD-003,1556,Kurti,62114210,0,3,Mtr,1556
TALIA-002,1557,Kurti,62114210,0,6,Mtr,1557
RIYA-001,1558,Kurti,62114210,0,6,Mtr,1558
JAYP-NC-005,1559,Kurti,62114210,0,6,Mtr,1559
JAYP-MHR-,1560,Kurti,62114210,0,4,Mtr,1560
LABELS,1561,Kurti,58071020,0,1,Mtr,1561
TEP,1562,Stationery,3919,0,1,Mtr,1562
PASSION,1563,Jacquard,551611,0,3,Mtr,1563
LASE,1564,Kurti,580632,0,1,Mtr,1564
FABRIC 2,1565,Kurti,6006,0,6,Mtr,1565
MODAL SATTIN,1566,Jacquard,551611,0,6,Mtr,1566
JOAN,1567,Kurti,62114210,0,4,Mtr,1567
SKY,1568,Kurti,62114210,0,4,Mtr,1568
HEET,1569,Kurti,62114210,0,4,Mtr,1569
VILLA,1570,Kurti,62114210,0,1,Mtr,1570
SIMY,1571,Kurti,62114210,0,4,Mtr,1571
XIAOMI,1572,Kurti,62114210,0,4,Mtr,1572
CORNY-001,1573,Kurti,620610,0,4,Mtr,1573
LIQUID BOX,1574,Jacquard,551611,0,3,Mtr,1574
PC EMBROIDERY,1575,Jacquard,540710,0,6,Mtr,1575
LIQUID DOT,1576,Jacquard,551611,0,3,Mtr,1576
K-CORNY,1577,Kurti,620610,0,6,Mtr,1577
KURTI,1578,Kurti,620610,0,6,Mtr,1578
RIB LYCRA,1579,Jacquard,551611,0,3,Mtr,1579
RAYON STYLE-2,1580,Jacquard,551611,0,3,Mtr,1580
SP. RAYON SLUB,1581,Jacquard,551611,0,6,Mtr,1581
WILD-SH,1582,Kurti,62114210,0,6,Mtr,1582
SLUB-001,1583,Kurti,62114210,0,6,Mtr,1583
500151 SERIES,1584,Kurti,620469,0,6,Mtr,1584
10012 SERIES,1585,Kurti,620610,0,6,Mtr,1585
JAY ASH-00,1586,Kurti,62114210,0,6,Mtr,1586
AVIE,1587,Kurti,62114210,0,6,Mtr,1587
PLASTIC BAGS,1588,Kurti,58071020,0,3,Mtr,1588
BUTTONS,1589,Kurti,58071020,0,3,Mtr,1589
SIDRA-2,1590,Jacquard,551511,0,3,Mtr,1590
RAYON STYLE-3,1591,Jacquard,551611,0,3,Mtr,1591
JP-00,1592,Kurti,62114210,0,4,Mtr,1592
600111 SERIES,1593,Kurti,62114210,0,3,Mtr,1593
30071 SERIES,1594,Kurti,62114210,0,6,Mtr,1594
LIQUID ARROW,1595,Jacquard,551611,0,3,Mtr,1595
DUPATTA,1596,Kurti,62114210,0,6,Mtr,1596
LEGGINGS PANT,1597,Kurti,620469,0,5,Mtr,1597
LUREX,1598,Kurti,62114210,0,1,Mtr,1598
SILVER FLEX,1599,Jacquard,551611,0,3,Mtr,1599
KIARA,1600,Jacquard,551512,0,3,Mtr,1600
AVINA,1601,Jacquard,551512,0,3,Mtr,1601
PRO,1602,Jacquard,551611,0,3,Mtr,1602
KURTI..,1603,Kurti,996791,0,1,Mtr,1603
STEM,1604,Kurti,62114210,0,6,Mtr,1604
ENROL-FC-002,1605,Kurti,62114210,0,1,Mtr,1605
NAMA-003,1606,Kurti,62114210,0,6,Mtr,1606
DUCE,1607,Kurti,62114210,0,4,Mtr,1607
REPO,1608,Jacquard,551611,0,3,Mtr,1608
